,stock_a,stock_b,0
0,MMM,AOS,0.626296756589167
1,MMM,ABT,0.4227637861242447
2,MMM,ABBV,0.2198501642792339
3,MMM,ACN,0.32008889497624915
4,MMM,AYI,0.3290510574217256
5,MMM,ADBE,0.18891966229000512
6,MMM,AAP,0.44086332637704634
7,MMM,AMD,0.28519495213610224
8,MMM,AES,0.7724600035007394
9,MMM,AMG,0.5065305717374827
10,MMM,AFL,0.6569943832845042
11,MMM,A,0.6075841033360541
12,MMM,APD,-0.039382258118852174
13,MMM,AKAM,0.4033083636019691
14,MMM,ALK,0.5781709248813566
15,MMM,ALB,-0.07451876638058638
16,MMM,ARE,0.7385053768554085
17,MMM,ALGN,0.1364863743767629
18,MMM,ALLE,0.4387628070660585
19,MMM,LNT,0.5898938213001937
20,MMM,ALL,0.4088992185183014
21,MMM,GOOGL,0.3298130157143551
22,MMM,GOOG,0.3360752349504678
23,MMM,MO,0.25630948119796404
24,MMM,AMZN,0.3306427219923157
25,MMM,AEE,-0.13528902362739748
26,MMM,AAL,0.38644675018196656
27,MMM,AEP,0.6117048908417786
28,MMM,AXP,0.35408773915810954
29,MMM,AIG,0.4571908813898671
30,MMM,AMT,0.7748954108093733
31,MMM,AWK,0.5921334401338875
32,MMM,AMP,0.4819408367223945
33,MMM,AME,0.3902771384064589
34,MMM,AMGN,0.2755768576128109
35,MMM,APH,0.4149185871766053
36,MMM,ADI,0.6017165390346166
37,MMM,ANSS,0.4929572419277051
38,MMM,AON,-0.32088472382709166
39,MMM,APA,-0.2743792176035381
40,MMM,AIV,0.6677865333360491
41,MMM,AAPL,0.36526036454361843
42,MMM,AMAT,0.20625289810070593
43,MMM,APTV,-0.21744205598388175
44,MMM,ADM,0.14198111537366656
45,MMM,AJG,-0.05587508691213971
46,MMM,AIZ,0.4557148632126983
47,MMM,T,0.540585179277088
48,MMM,ADSK,0.3820196092522006
49,MMM,ADP,-0.13770718412221286
50,MMM,AZO,0.21738958837367828
51,MMM,AVB,0.7149836003486644
52,MMM,AVY,0.43328385593147417
53,MMM,BAC,0.5989510494035475
54,MMM,BAX,0.42632968771561663
55,MMM,BDX,-0.4740153650912432
56,MMM,BRK.B,0.17375611936471286
57,MMM,BBY,0.5567600467273465
58,MMM,BIIB,0.036306425272547634
59,MMM,BLK,0.625226172198067
60,MMM,HRB,0.5106152193430293
61,MMM,BA,0.6049226603558985
62,MMM,BWA,-0.21361565005904584
63,MMM,BXP,0.6723474680609856
64,MMM,BSX,0.26761923192706083
65,MMM,BHF,0.6360626998427104
66,MMM,BMY,-0.30832201276199345
67,MMM,AVGO,0.3203695735287459
68,MMM,CHRW,0.23222079893382663
69,MMM,CDNS,0.2775644433522183
70,MMM,CPB,0.6560025444947761
71,MMM,COF,0.5422954924320204
72,MMM,CAH,0.4580679421240155
73,MMM,KMX,0.4733917457993053
74,MMM,CCL,0.8148393933587829
75,MMM,CAT,0.30350127877676625
76,MMM,CBOE,0.2840956023514058
77,MMM,CNC,0.42949902084508335
78,MMM,CNP,0.7205035615249512
79,MMM,CF,-0.1532853378515296
80,MMM,SCHW,0.7353406135233408
81,MMM,CHTR,-0.2042163094952645
82,MMM,CHK,-0.407660563675316
83,MMM,CVX,-0.3512075302766596
84,MMM,CMG,0.38408732431729165
85,MMM,CB,0.21558962613567134
86,MMM,CHD,0.3181732867747281
87,MMM,CI,0.044523009493315335
88,MMM,CINF,0.29080880895387506
89,MMM,CTAS,0.4593615342198893
90,MMM,CSCO,-0.37802342641069664
91,MMM,C,0.5184738312549034
92,MMM,CFG,0.6635386809336166
93,MMM,CME,-0.28275917605273165
94,MMM,CMS,0.6753439297384075
95,MMM,KO,0.5731094437144952
